CODIGO;FANTASIA;ENDERECO;NUMERO;BAIRRO;LOCALIDADE
97;TAPEJARA;RUA 8 DE MARCO;44;13 DE MAIO;TAPEJARA
120;TRES CACHOEIRAS;AVENIDA INÁCIO JOSÉ SCHAEFFER;3050;NOSSA SENHORA APARECIDA;TRES CACHOEIRAS
10;TRES DE MAIO;R VER ROQUE EDISON REDEL;300;INDUSTRIAL;TRES DE MAIO
65;TRES PASSOS;RUA CORONEL CLAUDINO NUNES PEREIRA;2100 A;PADRE GONZALES;TRES PASSOS
30;URUGUAIANA;BR 472 KM 572, RUA IBICUÍ;795;DISTRITO INDUSTRIAL;URUGUAIANA
28;VACARIA;RUA CEARA;297;PETROPOLIS;VACARIA
115;ARARANGUA;RUA TIAGO DIAS LUCIO;200;INDUSTRIAL;ARARANGUA
83;BLUMENAU;RUA BERNARDINO JOSE DE OLIVEIRA;100;BADENFURT;BLUMENAU
92;BRUSQUE;RUA AUGUSTO BENASSI;111;LIMOEIRO;BRUSQUE
61;CACADOR;RODOVIA HONORINO MORO;1145;BOM SUCESSO;CACADOR
98;CANOINHAS;RUA NAIR MAFALDA BERTÃO ZANIOLO;212;CAMPO D AGUA VERDE;CANOINHAS
64;CHAPECO;AC PLINIO ARLINDO DE NES;2180-D;BELVEDERE;CHAPECO
2;EXPRESSO SAO MIGUEL - MATRIZ;AC PLINIO ARLINDO DE NES;2180-D;BELVEDERE;CHAPECO
50;CONCORDIA;RUA TANCREDO DE ALMEIDA NEVES;6690;SAO CRISTOVAO;CONCORDIA
114;CRICIUMA;RUA BOLESSUAVO KLIMA - BARRACÃO C;194;LIRI;CRICIUMA
25;CURITIBANOS;RUA PAULO LONDERO SPERB;477;NOSSA SENHORA APARECIDA;CURITIBANOS
128;DIONISIO CERQUEIRA;ROD. SC 163;1600;TRES FRONTEIRAS;DIONISIO CERQUEIRA
135;GASPAR;RUA ANFILOQUIO NUNES PIRES;4764;BELA VISTA;GASPAR
141;GUARAMIRIM;RODOVIA EMILIO MANKE JUNIOR;80;ILHA DA FIGUEIRA;GUARAMIRIM
113;INDAIAL;RUA BERTOLINA MAY KECHELE;126;MULDE;INDAIAL
122;ITAJAI;RODOVIA BR 101;9145;CIDADE NOVA;ITAJAI
78;ITAPIRANGA;AVENIDA BEIRA RIO;373;CENTRO;ITAPIRANGA
